동사구	빈도	그룹ID	그룹명
열람하다	28	UNCLASSIFIED	미분류
철회하다	28	UNCLASSIFIED	미분류
지키다	28	UNCLASSIFIED	미분류
걸리다	28	UNCLASSIFIED	미분류
배정하다	28	UNCLASSIFIED	미분류
반하다	27	UNCLASSIFIED	미분류
높이다	27	UNCLASSIFIED	미분류
관계되다	27	UNCLASSIFIED	미분류
성립되다	27	UNCLASSIFIED	미분류
기피하다	27	UNCLASSIFIED	미분류
충당하다	27	UNCLASSIFIED	미분류
분할하다	27	UNCLASSIFIED	미분류
승인하다	27	UNCLASSIFIED	미분류
붙다	27	UNCLASSIFIED	미분류
약속하다	27	UNCLASSIFIED	미분류
생기다	27	UNCLASSIFIED	미분류
추가하다	27	UNCLASSIFIED	미분류
약정하다	26	UNCLASSIFIED	미분류
침해하다	26	UNCLASSIFIED	미분류
위임되다	26	UNCLASSIFIED	미분류
가져오다	26	UNCLASSIFIED	미분류
생략하다	26	UNCLASSIFIED	미분류
납입하다	26	UNCLASSIFIED	미분류
임명하다	25	UNCLASSIFIED	미분류
관여하다	25	UNCLASSIFIED	미분류
초래하다	25	UNCLASSIFIED	미분류
협조하다	25	UNCLASSIFIED	미분류
유리하다	25	UNCLASSIFIED	미분류
긴급하다	25	UNCLASSIFIED	미분류
사용되다	25	UNCLASSIFIED	미분류
원활하다	25	UNCLASSIFIED	미분류
신탁하다	25	UNCLASSIFIED	미분류
보내다	24	UNCLASSIFIED	미분류
낮다	24	UNCLASSIFIED	미분류
연대하다	24	UNCLASSIFIED	미분류
달성하다	24	UNCLASSIFIED	미분류
면제되다	24	UNCLASSIFIED	미분류
파악하다	24	UNCLASSIFIED	미분류
개최하다	24	UNCLASSIFIED	미분류
가다	24	UNCLASSIFIED	미분류
편입되다	24	UNCLASSIFIED	미분류
발견되다	23	UNCLASSIFIED	미분류
도달하다	23	UNCLASSIFIED	미분류
발견하다	23	UNCLASSIFIED	미분류
보존하다	23	UNCLASSIFIED	미분류
시작되다	23	UNCLASSIFIED	미분류
연기하다	23	UNCLASSIFIED	미분류
소집되다	23	UNCLASSIFIED	미분류
정정하다	23	UNCLASSIFIED	미분류
넣다	23	UNCLASSIFIED	미분류
진술하다	22	UNCLASSIFIED	미분류
정지되다	22	UNCLASSIFIED	미분류
입증하다	22	UNCLASSIFIED	미분류
반복하다	22	UNCLASSIFIED	미분류
허용되다	22	UNCLASSIFIED	미분류
상환하다	22	UNCLASSIFIED	미분류
합격하다	22	UNCLASSIFIED	미분류
몰수하다	22	UNCLASSIFIED	미분류
형성되다	22	UNCLASSIFIED	미분류
청약하다	22	UNCLASSIFIED	미분류
가입하다	21	UNCLASSIFIED	미분류
심의하다	21	UNCLASSIFIED	미분류
이바지하다	21	UNCLASSIFIED	미분류
매입하다	21	UNCLASSIFIED	미분류
해제하다	21	UNCLASSIFIED	미분류
도모하다	21	UNCLASSIFIED	미분류
이해하다	21	UNCLASSIFIED	미분류
감사하다	21	UNCLASSIFIED	미분류
개시하다	21	UNCLASSIFIED	미분류
보완하다	21	UNCLASSIFIED	미분류
금지하다	21	UNCLASSIFIED	미분류
많다	21	UNCLASSIFIED	미분류
반대하다	21	UNCLASSIFIED	미분류
인도하다	21	UNCLASSIFIED	미분류
매출되다	21	UNCLASSIFIED	미분류
재직하다	20	UNCLASSIFIED	미분류
임용되다	20	UNCLASSIFIED	미분류
정지하다	20	UNCLASSIFIED	미분류
조치하다	20	UNCLASSIFIED	미분류
상실되다	20	UNCLASSIFIED	미분류
지출하다	20	UNCLASSIFIED	미분류
넘다	20	UNCLASSIFIED	미분류
상응하다	20	UNCLASSIFIED	미분류
부수하다	20	UNCLASSIFIED	미분류
오인하다	20	UNCLASSIFIED	미분류
비교하다	20	UNCLASSIFIED	미분류
부합하다	20	UNCLASSIFIED	미분류
나누다	20	UNCLASSIFIED	미분류
예정되다	20	UNCLASSIFIED	미분류
대여하다	20	UNCLASSIFIED	미분류
수리하다	19	UNCLASSIFIED	미분류
조달하다	19	UNCLASSIFIED	미분류
거절하다	19	UNCLASSIFIED	미분류
안내하다	19	UNCLASSIFIED	미분류
예방하다	19	UNCLASSIFIED	미분류
끼치다	19	UNCLASSIFIED	미분류
결정되다	19	UNCLASSIFIED	미분류
급격하다	19	UNCLASSIFIED	미분류
특수하다	19	UNCLASSIFIED	미분류
겸영하다	19	UNCLASSIFIED	미분류
겸직하다	19	UNCLASSIFIED	미분류
선고받다	19	UNCLASSIFIED	미분류
예상되다	19	UNCLASSIFIED	미분류
공여하다	19	UNCLASSIFIED	미분류
수탁하다	19	UNCLASSIFIED	미분류
보고되다	19	UNCLASSIFIED	미분류
지니다	18	UNCLASSIFIED	미분류
합의하다	18	UNCLASSIFIED	미분류
분석하다	18	UNCLASSIFIED	미분류
제외되다	18	UNCLASSIFIED	미분류
맞다	18	UNCLASSIFIED	미분류
기여하다	18	UNCLASSIFIED	미분류
의뢰하다	18	UNCLASSIFIED	미분류
중단하다	18	UNCLASSIFIED	미분류
발급하다	18	UNCLASSIFIED	미분류
금지되다	18	UNCLASSIFIED	미분류
부실하다	18	UNCLASSIFIED	미분류
환급하다	18	UNCLASSIFIED	미분류
위임하다	17	UNCLASSIFIED	미분류
뚜렷하다	17	UNCLASSIFIED	미분류
내보이다	17	UNCLASSIFIED	미분류
추정하다	17	UNCLASSIFIED	미분류
공제하다	17	UNCLASSIFIED	미분류
적히다	17	UNCLASSIFIED	미분류
납입되다	17	UNCLASSIFIED	미분류
강제되다	17	UNCLASSIFIED	미분류
공시되다	17	UNCLASSIFIED	미분류
요구되다	16	UNCLASSIFIED	미분류
진행하다	16	UNCLASSIFIED	미분류
보정하다	16	UNCLASSIFIED	미분류
허용하다	16	UNCLASSIFIED	미분류
사망하다	16	UNCLASSIFIED	미분류
감안하다	16	UNCLASSIFIED	미분류
총괄하다	16	UNCLASSIFIED	미분류
연임하다	16	UNCLASSIFIED	미분류
환수하다	16	UNCLASSIFIED	미분류
의심되다	16	UNCLASSIFIED	미분류
중지하다	16	UNCLASSIFIED	미분류
차지하다	16	UNCLASSIFIED	미분류
유예하다	16	UNCLASSIFIED	미분류
교차하다	16	UNCLASSIFIED	미분류
요하다	16	UNCLASSIFIED	미분류
수수하다	16	UNCLASSIFIED	미분류
귀속되다	16	UNCLASSIFIED	미분류
해임되다	16	UNCLASSIFIED	미분류
독립되다	16	UNCLASSIFIED	미분류
공급하다	16	UNCLASSIFIED	미분류
결성하다	16	UNCLASSIFIED	미분류
훼손하다	15	UNCLASSIFIED	미분류
상실하다	15	UNCLASSIFIED	미분류
대응하다	15	UNCLASSIFIED	미분류
입히다	15	UNCLASSIFIED	미분류
대체하다	15	UNCLASSIFIED	미분류
불문하다	15	UNCLASSIFIED	미분류
요구받다	15	UNCLASSIFIED	미분류
공유하다	15	UNCLASSIFIED	미분류
구축하다	15	UNCLASSIFIED	미분류
조성하다	15	UNCLASSIFIED	미분류
개시되다	15	UNCLASSIFIED	미분류
지급받다	15	UNCLASSIFIED	미분류
성실하다	15	UNCLASSIFIED	미분류
소멸되다	15	UNCLASSIFIED	미분류
매각하다	15	UNCLASSIFIED	미분류
배당하다	15	UNCLASSIFIED	미분류
완료되다	15	UNCLASSIFIED	미분류
신고되다	15	UNCLASSIFIED	미분류
응시하다	15	UNCLASSIFIED	미분류
통합하다	15	UNCLASSIFIED	미분류
각하하다	14	UNCLASSIFIED	미분류
날인하다	14	UNCLASSIFIED	미분류
제기되다	14	UNCLASSIFIED	미분류
임면하다	14	UNCLASSIFIED	미분류
종결하다	14	UNCLASSIFIED	미분류
벌하다	14	UNCLASSIFIED	미분류
작성되다	14	UNCLASSIFIED	미분류
공표되다	14	UNCLASSIFIED	미분류
당하다	14	UNCLASSIFIED	미분류
보장되다	14	UNCLASSIFIED	미분류
갖다	14	UNCLASSIFIED	미분류
말소하다	14	UNCLASSIFIED	미분류
확정하다	14	UNCLASSIFIED	미분류
관할하다	14	UNCLASSIFIED	미분류
위촉되다	14	UNCLASSIFIED	미분류
증가하다	14	UNCLASSIFIED	미분류
부족하다	14	UNCLASSIFIED	미분류
수리되다	14	UNCLASSIFIED	미분류
소속하다	13	UNCLASSIFIED	미분류
보좌하다	13	UNCLASSIFIED	미분류
실시되다	13	UNCLASSIFIED	미분류
개선하다	13	UNCLASSIFIED	미분류
포함시키다	13	UNCLASSIFIED	미분류
저해되다	13	UNCLASSIFIED	미분류
풍부하다	13	UNCLASSIFIED	미분류
소명하다	13	UNCLASSIFIED	미분류
투명하다	13	UNCLASSIFIED	미분류
요청받다	13	UNCLASSIFIED	미분류
신속하다	13	UNCLASSIFIED	미분류
소재하다	13	UNCLASSIFIED	미분류
지속되다	13	UNCLASSIFIED	미분류
이수하다	13	UNCLASSIFIED	미분류
분할되다	13	UNCLASSIFIED	미분류
차감하다	13	UNCLASSIFIED	미분류
파산하다	13	UNCLASSIFIED	미분류
계상하다	13	UNCLASSIFIED	미분류
예치하다	13	UNCLASSIFIED	미분류
귀속시키다	13	UNCLASSIFIED	미분류
합리하다	12	UNCLASSIFIED	미분류
종결되다	12	UNCLASSIFIED	미분류
보고받다	12	UNCLASSIFIED	미분류
종합하다	12	UNCLASSIFIED	미분류
감경하다	12	UNCLASSIFIED	미분류
적당하다	12	UNCLASSIFIED	미분류
범하다	12	UNCLASSIFIED	미분류
모으다	12	UNCLASSIFIED	미분류
확보되다	12	UNCLASSIFIED	미분류
해소되다	12	UNCLASSIFIED	미분류
수령하다	12	UNCLASSIFIED	미분류
대신하다	12	UNCLASSIFIED	미분류
출연하다	12	UNCLASSIFIED	미분류
추진하다	12	UNCLASSIFIED	미분류
공고되다	12	UNCLASSIFIED	미분류
분배하다	12	UNCLASSIFIED	미분류
분리하다	12	UNCLASSIFIED	미분류
이전되다	12	UNCLASSIFIED	미분류
대출하다	12	UNCLASSIFIED	미분류
기하다	11	UNCLASSIFIED	미분류
추심하다	11	UNCLASSIFIED	미분류
방문하다	11	UNCLASSIFIED	미분류
존재하다	11	UNCLASSIFIED	미분류
충실하다	11	UNCLASSIFIED	미분류
전담하다	11	UNCLASSIFIED	미분류
계속되다	11	UNCLASSIFIED	미분류
사다	11	UNCLASSIFIED	미분류
안전하다	11	UNCLASSIFIED	미분류
수반하다	11	UNCLASSIFIED	미분류
확실하다	11	UNCLASSIFIED	미분류
성립하다	11	UNCLASSIFIED	미분류
해지되다	11	UNCLASSIFIED	미분류
일치하다	11	UNCLASSIFIED	미분류
적용받다	11	UNCLASSIFIED	미분류
응대하다	11	UNCLASSIFIED	미분류
고용하다	11	UNCLASSIFIED	미분류
수반되다	11	UNCLASSIFIED	미분류
차단하다	11	UNCLASSIFIED	미분류
지시하다	11	UNCLASSIFIED	미분류
신탁되다	11	UNCLASSIFIED	미분류
파견하다	10	UNCLASSIFIED	미분류
반송되다	10	UNCLASSIFIED	미분류
침해되다	10	UNCLASSIFIED	미분류
상충되다	10	UNCLASSIFIED	미분류
엄격하다	10	UNCLASSIFIED	미분류
검증하다	10	UNCLASSIFIED	미분류
처리되다	10	UNCLASSIFIED	미분류
우대하다	10	UNCLASSIFIED	미분류
편성하다	10	UNCLASSIFIED	미분류
누락되다	10	UNCLASSIFIED	미분류
감액하다	10	UNCLASSIFIED	미분류
조회하다	10	UNCLASSIFIED	미분류
청렴하다	10	UNCLASSIFIED	미분류
차별하다	10	UNCLASSIFIED	미분류
마련되다	10	UNCLASSIFIED	미분류
위법하다	10	UNCLASSIFIED	미분류
추징하다	10	UNCLASSIFIED	미분류
유지되다	10	UNCLASSIFIED	미분류
선택하다	10	UNCLASSIFIED	미분류
정확하다	10	UNCLASSIFIED	미분류
선량하다	10	UNCLASSIFIED	미분류
신청되다	10	UNCLASSIFIED	미분류
부과받다	10	UNCLASSIFIED	미분류
인도받다	10	UNCLASSIFIED	미분류
참석하다	10	UNCLASSIFIED	미분류
해소하다	10	UNCLASSIFIED	미분류
막다	10	UNCLASSIFIED	미분류
나타나다	10	UNCLASSIFIED	미분류
폐쇄하다	10	UNCLASSIFIED	미분류
운영되다	10	UNCLASSIFIED	미분류
사임하다	10	UNCLASSIFIED	미분류
표명하다	10	UNCLASSIFIED	미분류
수입하다	10	UNCLASSIFIED	미분류
해산되다	10	UNCLASSIFIED	미분류
영수하다	10	UNCLASSIFIED	미분류
개발하다	9	UNCLASSIFIED	미분류
고발하다	9	UNCLASSIFIED	미분류
재임하다	9	UNCLASSIFIED	미분류
적법하다	9	UNCLASSIFIED	미분류
담보되다	9	UNCLASSIFIED	미분류
발생시키다	9	UNCLASSIFIED	미분류
조정하다	9	UNCLASSIFIED	미분류
분리되다	9	UNCLASSIFIED	미분류
기초하다	9	UNCLASSIFIED	미분류
수렴하다	9	UNCLASSIFIED	미분류
수집하다	9	UNCLASSIFIED	미분류
미루다	9	UNCLASSIFIED	미분류
들다	9	UNCLASSIFIED	미분류
유도하다	9	UNCLASSIFIED	미분류
광고하다	9	UNCLASSIFIED	미분류
연기되다	9	UNCLASSIFIED	미분류
갱신하다	9	UNCLASSIFIED	미분류
폐지되다	9	UNCLASSIFIED	미분류
예탁되다	9	UNCLASSIFIED	미분류
교환되다	9	UNCLASSIFIED	미분류
감소하다	9	UNCLASSIFIED	미분류
적립되다	9	UNCLASSIFIED	미분류
득점하다	9	UNCLASSIFIED	미분류
취업하다	9	UNCLASSIFIED	미분류
제보하다	9	UNCLASSIFIED	미분류
귀속하다	9	UNCLASSIFIED	미분류
공인되다	8	UNCLASSIFIED	미분류
겸하다	8	UNCLASSIFIED	미분류
관장하다	8	UNCLASSIFIED	미분류
피하다	8	UNCLASSIFIED	미분류
이루다	8	UNCLASSIFIED	미분류
완성되다	8	UNCLASSIFIED	미분류
저촉되다	8	UNCLASSIFIED	미분류
변조되다	8	UNCLASSIFIED	미분류
협력하다	8	UNCLASSIFIED	미분류
빌리다	8	UNCLASSIFIED	미분류
딸리다	8	UNCLASSIFIED	미분류
중단되다	8	UNCLASSIFIED	미분류
내주다	8	UNCLASSIFIED	미분류
연계되다	8	UNCLASSIFIED	미분류
소개하다	8	UNCLASSIFIED	미분류
변동하다	8	UNCLASSIFIED	미분류
연계하다	8	UNCLASSIFIED	미분류
회부하다	8	UNCLASSIFIED	미분류
늦다	8	UNCLASSIFIED	미분류
신설되다	8	UNCLASSIFIED	미분류
부여되다	8	UNCLASSIFIED	미분류
감면되다	8	UNCLASSIFIED	미분류
체납되다	8	UNCLASSIFIED	미분류
발부하다	8	UNCLASSIFIED	미분류
과도하다	8	UNCLASSIFIED	미분류
폐업하다	8	UNCLASSIFIED	미분류
완화하다	8	UNCLASSIFIED	미분류
확립하다	8	UNCLASSIFIED	미분류
맡다	8	UNCLASSIFIED	미분류
선출하다	8	UNCLASSIFIED	미분류
최고하다	8	UNCLASSIFIED	미분류
참조하다	8	UNCLASSIFIED	미분류
연동하다	8	UNCLASSIFIED	미분류
말소되다	8	UNCLASSIFIED	미분류
구분되다	8	UNCLASSIFIED	미분류
발언하다	8	UNCLASSIFIED	미분류
환부하다	8	UNCLASSIFIED	미분류
기각하다	7	UNCLASSIFIED	미분류
주장하다	7	UNCLASSIFIED	미분류
지연하다	7	UNCLASSIFIED	미분류
연락하다	7	UNCLASSIFIED	미분류
기술하다	7	UNCLASSIFIED	미분류
앞서다	7	UNCLASSIFIED	미분류
봉인하다	7	UNCLASSIFIED	미분류
강구하다	7	UNCLASSIFIED	미분류
전달하다	7	UNCLASSIFIED	미분류
독립하다	7	UNCLASSIFIED	미분류
신청받다	7	UNCLASSIFIED	미분류
이송하다	7	UNCLASSIFIED	미분류
보도하다	7	UNCLASSIFIED	미분류
취임하다	7	UNCLASSIFIED	미분류
기록되다	7	UNCLASSIFIED	미분류
축소하다	7	UNCLASSIFIED	미분류
참가하다	7	UNCLASSIFIED	미분류
알선하다	7	UNCLASSIFIED	미분류
의제되다	7	UNCLASSIFIED	미분류
승낙하다	7	UNCLASSIFIED	미분류
